realtime_start,realtime_end,date,value
2025-09-13,2025-09-13,2015-08-01,5.8
2025-09-13,2025-09-13,2015-09-01,5.1
2025-09-13,2025-09-13,2015-10-01,3.9
2025-09-13,2025-09-13,2015-11-01,6.5
2025-09-13,2025-09-13,2015-12-01,-0.2
2025-09-13,2025-09-13,2016-01-01,5.0
2025-09-13,2025-09-13,2016-02-01,5.9
2025-09-13,2025-09-13,2016-03-01,8.9
2025-09-13,2025-09-13,2016-04-01,11.7
2025-09-13,2025-09-13,2016-05-01,5.6
2025-09-13,2025-09-13,2016-06-01,8.4
2025-09-13,2025-09-13,2016-07-01,7.3
2025-09-13,2025-09-13,2016-08-01,13.3
2025-09-13,2025-09-13,2016-09-01,7.3
2025-09-13,2025-09-13,2016-10-01,3.1
2025-09-13,2025-09-13,2016-11-01,5.3
2025-09-13,2025-09-13,2016-12-01,4.8
2025-09-13,2025-09-13,2017-01-01,6.6
2025-09-13,2025-09-13,2017-02-01,4.8
2025-09-13,2025-09-13,2017-03-01,5.0
2025-09-13,2025-09-13,2017-04-01,3.1
2025-09-13,2025-09-13,2017-05-01,5.2
2025-09-13,2025-09-13,2017-06-01,-0.4
2025-09-13,2025-09-13,2017-07-01,5.9
2025-09-13,2025-09-13,2017-08-01,2.7
2025-09-13,2025-09-13,2017-09-01,2.9
2025-09-13,2025-09-13,2017-10-01,6.9
2025-09-13,2025-09-13,2017-11-01,0.6
2025-09-13,2025-09-13,2017-12-01,4.4
2025-09-13,2025-09-13,2018-01-01,3.8
2025-09-13,2025-09-13,2018-02-01,0.8
2025-09-13,2025-09-13,2018-03-01,3.4
2025-09-13,2025-09-13,2018-04-01,2.3
2025-09-13,2025-09-13,2018-05-01,2.9
2025-09-13,2025-09-13,2018-06-01,3.5
2025-09-13,2025-09-13,2018-07-01,2.4
2025-09-13,2025-09-13,2018-08-01,2.3
2025-09-13,2025-09-13,2018-09-01,-0.3
2025-09-13,2025-09-13,2018-10-01,1.2
2025-09-13,2025-09-13,2018-11-01,-0.4
2025-09-13,2025-09-13,2018-12-01,10.2
2025-09-13,2025-09-13,2019-01-01,1.2
2025-09-13,2025-09-13,2019-02-01,1.4
2025-09-13,2025-09-13,2019-03-01,3.7
2025-09-13,2025-09-13,2019-04-01,5.5
2025-09-13,2025-09-13,2019-05-01,6.7
2025-09-13,2025-09-13,2019-06-01,10.4
2025-09-13,2025-09-13,2019-07-01,2.2
2025-09-13,2025-09-13,2019-08-01,3.6
2025-09-13,2025-09-13,2019-09-01,8.9
2025-09-13,2025-09-13,2019-10-01,10.4
2025-09-13,2025-09-13,2019-11-01,7.8
2025-09-13,2025-09-13,2019-12-01,2.0
2025-09-13,2025-09-13,2020-01-01,10.5
2025-09-13,2025-09-13,2020-02-01,9.2
2025-09-13,2025-09-13,2020-03-01,54.1
2025-09-13,2025-09-13,2020-04-01,85.8
2025-09-13,2025-09-13,2020-05-01,57.8
2025-09-13,2025-09-13,2020-06-01,21.3
2025-09-13,2025-09-13,2020-07-01,3.6
2025-09-13,2025-09-13,2020-08-01,4.9
2025-09-13,2025-09-13,2020-09-01,17.1
2025-09-13,2025-09-13,2020-10-01,11.1
2025-09-13,2025-09-13,2020-11-01,13.6
2025-09-13,2025-09-13,2020-12-01,10.3
2025-09-13,2025-09-13,2021-01-01,15.3
2025-09-13,2025-09-13,2021-02-01,17.5
2025-09-13,2025-09-13,2021-03-01,21.5
2025-09-13,2025-09-13,2021-04-01,21.1
2025-09-13,2025-09-13,2021-05-01,15.3
2025-09-13,2025-09-13,2021-06-01,2.1
2025-09-13,2025-09-13,2021-07-01,9.0
2025-09-13,2025-09-13,2021-08-01,13.4
2025-09-13,2025-09-13,2021-09-01,10.1
2025-09-13,2025-09-13,2021-10-01,9.2
2025-09-13,2025-09-13,2021-11-01,9.5
2025-09-13,2025-09-13,2021-12-01,8.1
2025-09-13,2025-09-13,2022-01-01,2.2
2025-09-13,2025-09-13,2022-02-01,3.7
2025-09-13,2025-09-13,2022-03-01,2.5
2025-09-13,2025-09-13,2022-04-01,1.0
2025-09-13,2025-09-13,2022-05-01,-2.7
2025-09-13,2025-09-13,2022-06-01,-5.8
2025-09-13,2025-09-13,2022-07-01,-2.9
2025-09-13,2025-09-13,2022-08-01,-3.2
2025-09-13,2025-09-13,2022-09-01,-8.8
2025-09-13,2025-09-13,2022-10-01,-8.7
2025-09-13,2025-09-13,2022-11-01,-7.8
2025-09-13,2025-09-13,2022-12-01,-7.9
2025-09-13,2025-09-13,2023-01-01,-6.8
2025-09-13,2025-09-13,2023-02-01,-8.8
2025-09-13,2025-09-13,2023-03-01,-24.8
2025-09-13,2025-09-13,2023-04-01,-13.9
2025-09-13,2025-09-13,2023-05-01,-1.0
2025-09-13,2025-09-13,2023-06-01,-2.0
2025-09-13,2025-09-13,2023-07-01,-3.9
2025-09-13,2025-09-13,2023-08-01,-6.2
2025-09-13,2025-09-13,2023-09-01,-2.9
2025-09-13,2025-09-13,2023-10-01,-4.3
2025-09-13,2025-09-13,2023-11-01,-2.5
2025-09-13,2025-09-13,2023-12-01,1.9
2025-09-13,2025-09-13,2024-01-01,1.7
2025-09-13,2025-09-13,2024-02-01,0.1
2025-09-13,2025-09-13,2024-03-01,6.1
2025-09-13,2025-09-13,2024-04-01,-0.8
2025-09-13,2025-09-13,2024-05-01,1.6
2025-09-13,2025-09-13,2024-06-01,2.7
2025-09-13,2025-09-13,2024-07-01,0.8
2025-09-13,2025-09-13,2024-08-01,1.9
2025-09-13,2025-09-13,2024-09-01,5.7
2025-09-13,2025-09-13,2024-10-01,4.3
2025-09-13,2025-09-13,2024-11-01,2.5
2025-09-13,2025-09-13,2024-12-01,-0.8
2025-09-13,2025-09-13,2025-01-01,9.1
2025-09-13,2025-09-13,2025-02-01,0.7
2025-09-13,2025-09-13,2025-03-01,7.0
2025-09-13,2025-09-13,2025-04-01,6.4
2025-09-13,2025-09-13,2025-05-01,2.5
2025-09-13,2025-09-13,2025-06-01,5.2
2025-09-13,2025-09-13,2025-07-01,3.2
2025-09-13,2025-09-13,2025-08-01,3.6
